
# Surface 0 of 1 surfaces

# Curve title: ""numerics/figures/profile1-1um-gnu.dat" using 1:2:3"
# IsoCurve 0, 65536 points
# x y z type
3.8431400e-01 3.9220000e-03 4.3237100e+00 4.32371 i
3.8823500e-01 3.9220000e-03 4.2523300e+00 4.25233 i
3.9215700e-01 3.9220000e-03 4.2235100e+00 4.22351 i
3.9607800e-01 3.9220000e-03 4.2656300e+00 4.26563 i
4.0000000e-01 3.9220000e-03 4.2510000e+00 4.251 i
4.0392200e-01 3.9220000e-03 4.2576500e+00 4.25765 i
4.0784300e-01 3.9220000e-03 4.3494200e+00 4.34942 i
4.1176500e-01 3.9220000e-03 4.2922300e+00 4.29223 i
4.1568600e-01 3.9220000e-03 4.2988800e+00 4.29888 i
4.1960800e-01 3.9220000e-03 4.3268100e+00 4.32681 i
4.2352900e-01 3.9220000e-03 4.2909000e+00 4.2909 i
4.2745100e-01 3.9220000e-03 4.2408000e+00 4.2408 i
4.3137300e-01 3.9220000e-03 4.2900100e+00 4.29001 i
4.3529400e-01 3.9220000e-03 4.2611900e+00 4.26119 i
4.3921600e-01 3.9220000e-03 4.2110900e+00 4.21109 i
4.4313700e-01 3.9220000e-03 4.1113300e+00 4.11133 i
4.4705900e-01 3.9220000e-03 4.0683200e+00 4.06832 i
4.5098000e-01 3.9220000e-03 4.2168500e+00 4.21685 i
4.5490200e-01 3.9220000e-03 4.2022200e+00 4.20222 i
4.5882400e-01 3.9220000e-03 4.1804900e+00 4.18049 i
4.6274500e-01 3.9220000e-03 4.2722700e+00 4.27227 i
4.6666700e-01 3.9220000e-03 4.2150700e+00 4.21507 i
4.7058800e-01 3.9220000e-03 4.2217200e+00 4.22172 i
4.7451000e-01 3.9220000e-03 4.3347800e+00 4.33478 i
4.7843100e-01 3.9220000e-03 4.3130600e+00 4.31306 i
4.8235300e-01 3.9220000e-03 4.4048300e+00 4.40483 i
4.8627500e-01 3.9220000e-03 4.3192600e+00 4.31926 i
4.9019600e-01 3.9220000e-03 4.4536000e+00 4.4536 i
4.9411800e-01 3.9220000e-03 4.3893100e+00 4.38931 i
4.9803900e-01 3.9220000e-03 4.3888700e+00 4.38887 i
5.0196100e-01 3.9220000e-03 4.3671400e+00 4.36714 i
5.0588200e-01 3.9220000e-03 4.3312300e+00 4.33123 i
5.0980400e-01 3.9220000e-03 4.3166000e+00 4.3166 i
5.1372500e-01 3.9220000e-03 4.3303400e+00 4.33034 i
5.1764700e-01 3.9220000e-03 4.2660500e+00 4.26605 i
5.2156900e-01 3.9220000e-03 4.3578300e+00 4.35783 i
5.2549000e-01 3.9220000e-03 4.1942300e+00 4.19423 i
5.2941200e-01 3.9220000e-03 4.2079700e+00 4.20797 i
5.3333300e-01 3.9220000e-03 4.2430000e+00 4.243 i
5.3725500e-01 3.9220000e-03 4.1928900e+00 4.19289 i
5.4117600e-01 3.9220000e-03 4.1782600e+00 4.17826 i
5.4509800e-01 3.9220000e-03 4.1920100e+00 4.19201 i
